# image_id Cx Cy Cz camera_id name cluster_label
257 -1.61056898 0.75719959 -2.79025367 1 frame_00257.png 1
256 -1.73971400 0.73954060 -2.59052146 1 frame_00256.png 1
255 -1.81228682 0.72980530 -2.44517286 1 frame_00255.png 1
254 -1.92557284 0.73937838 -2.16581164 1 frame_00254.png 1
253 -1.97065545 0.73169638 -2.05593717 1 frame_00253.png 1
252 -2.06033779 0.74248322 -1.86463560 1 frame_00252.png 1
251 -2.13509531 0.70793242 -1.71980786 1 frame_00251.png 1
250 -2.21295650 0.69279135 -1.55157469 1 frame_00250.png 1
249 -2.28389989 0.68982622 -1.38243635 1 frame_00249.png 1
248 -2.33160925 0.68368158 -1.27209794 1 frame_00248.png 1
247 -2.43480722 0.69326800 -1.08016654 1 frame_00247.png 1
246 -2.50169825 0.68735432 -0.93512765 1 frame_00246.png 1
245 -2.54607408 0.67970325 -0.79435682 1 frame_00245.png 1
244 -2.60123249 0.69360724 -0.59113197 1 frame_00244.png 1
243 -2.64495016 0.70401595 -0.46014133 1 frame_00243.png 1
242 -2.71586992 0.72679323 -0.21703405 1 frame_00242.png 1
241 -2.75754467 0.69729853 -0.06468235 1 frame_00241.png 1
240 -2.78349787 0.69763111 0.12993776 1 frame_00240.png 1
239 -2.80633554 0.70813164 0.24567168 1 frame_00239.png 1
238 -2.82527515 0.70166099 0.35816197 1 frame_00238.png 1
237 -2.85198015 0.70342077 0.58757024 1 frame_00237.png 1
236 -2.86523659 0.69191807 0.71587052 1 frame_00236.png 1
235 -2.86259377 0.69295736 0.85471994 1 frame_00235.png 1
234 -2.83357984 0.70082013 0.97979727 1 frame_00234.png 1
233 -2.81210778 0.69186803 1.13031329 1 frame_00233.png 1
232 -2.81046697 0.69589238 1.22216821 1 frame_00232.png 1
231 -2.77677909 0.69109013 1.37644894 1 frame_00231.png 1
230 -2.71745822 0.68376674 1.55497263 1 frame_00230.png 1
229 -2.64923250 0.65923569 1.73196258 1 frame_00229.png 1
228 -2.59202863 0.62993546 1.88815824 1 frame_00228.png 1
227 -2.56964279 0.62481942 1.95796161 1 frame_00227.png 1
226 -2.49863258 0.60789734 2.17494087 1 frame_00226.png 1
225 -2.38126964 0.61688252 2.36061690 1 frame_00225.png 1
224 -2.25280281 0.60330314 2.54309289 1 frame_00224.png 1
223 -2.16592929 0.59344926 2.67211195 1 frame_00223.png 1
222 -2.00767084 0.59332304 2.85836766 1 frame_00222.png 1
221 -1.80023050 0.58961344 3.01497604 1 frame_00221.png 1
220 -1.60023942 0.60342517 3.11041333 1 frame_00220.png 1
219 -1.47197270 0.60816242 3.16087895 1 frame_00219.png 1
218 -1.27317829 0.62340509 3.25002820 1 frame_00218.png 1
217 -1.06331997 0.60865099 3.31025772 1 frame_00217.png 1
216 -0.88309321 0.58997508 3.34201729 1 frame_00216.png 1
215 -0.66680372 0.57526939 3.36692516 1 frame_00215.png 1
214 -0.49023705 0.53475766 3.37965980 1 frame_00214.png 1
213 -0.31989171 0.43494408 3.38327478 1 frame_00213.png 1
212 -0.13072651 0.20594603 3.40943237 1 frame_00212.png 1
211 0.02280450 0.03179000 3.38463178 1 frame_00211.png 2
210 0.27688174 -0.15876505 3.23340981 1 frame_00210.png 2
209 0.42365034 -0.24432610 3.15324850 1 frame_00209.png 2
208 0.58609423 -0.39455947 3.09457035 1 frame_00208.png 2
207 0.78913591 -0.52548743 3.01040153 1 frame_00207.png 2
206 0.99745469 -0.66872494 2.85529167 1 frame_00206.png 2
205 1.15592590 -0.79566588 2.72551461 1 frame_00205.png 0
204 1.30983419 -0.88319102 2.62710072 1 frame_00204.png 0
203 1.52281117 -1.04097850 2.45392311 1 frame_00203.png 0
202 1.67479754 -1.08988867 2.25306669 1 frame_00202.png 0
201 1.78945029 -1.09644775 2.06557767 1 frame_00201.png 0
200 1.88718224 -1.10675932 1.87606271 1 frame_00200.png 0
199 1.97697041 -1.06846232 1.70276811 1 frame_00199.png 0
198 2.08113603 -1.09210820 1.50742964 1 frame_00198.png 0
197 2.15032082 -1.07445263 1.25266011 1 frame_00197.png 0
196 2.18280500 -1.07409653 1.06152339 1 frame_00196.png 0
195 2.24426017 -1.06636572 0.89436816 1 frame_00195.png 0
194 2.35736318 -1.07821953 0.57158249 1 frame_00194.png 0
193 2.42275014 -1.08365731 0.32415928 1 frame_00193.png 0
69 -0.47235924 -0.51074521 -3.99201847 1 frame_00069.png 2
70 -0.25397265 -0.53475652 -4.07951599 1 frame_00070.png 2
71 -0.07402910 -0.52746016 -4.16440474 1 frame_00071.png 2
