# image_id qw qx qy qz Cx Cy Cz camera_id name cluster_label
257 0.89956184 -0.15087366 -0.40838185 -0.03535403 -1.41601717 0.75677283 -2.52551874 1 frame_00257.png 1
256 0.89031658 -0.14978032 -0.42837856 -0.03733686 -1.53224654 0.74248084 -2.34807391 1 frame_00256.png 1
255 0.88474247 -0.14975672 -0.43970464 -0.03825592 -1.59776980 0.73502056 -2.21885076 1 frame_00255.png 1
254 0.87130317 -0.14579235 -0.46664338 -0.04265357 -1.70056646 0.74609164 -1.97066787 1 frame_00254.png 1
253 0.86524699 -0.14524288 -0.47782486 -0.04399497 -1.74137991 0.74023915 -1.87291920 1 frame_00253.png 1
252 0.85962543 -0.14479160 -0.48791138 -0.04496666 -1.82259603 0.75149939 -1.70309418 1 frame_00252.png 1
251 0.85559394 -0.14603684 -0.49459663 -0.04479316 -1.88987601 0.72189815 -1.57404505 1 frame_00251.png 1
250 0.84886633 -0.14527480 -0.50612429 -0.04646914 -1.96021531 0.70985818 -1.42439111 1 frame_00250.png 1
249 0.84308044 -0.14447603 -0.51578594 -0.04803033 -2.02448597 0.70873440 -1.27403686 1 frame_00249.png 1
248 0.83752820 -0.14386076 -0.52480181 -0.04933207 -2.06765530 0.70423776 -1.17590962 1 frame_00248.png 1
247 0.83172309 -0.13953930 -0.53474219 -0.05306864 -2.16091354 0.71433254 -1.00559161 1 frame_00247.png 1
246 0.82635980 -0.13967899 -0.54283804 -0.05427817 -2.22139922 0.71031806 -0.87665635 1 frame_00246.png 1
245 0.81824617 -0.14086874 -0.55450727 -0.05613278 -2.26177601 0.70487497 -0.75136560 1 frame_00245.png 1
244 0.80877480 -0.13877378 -0.56808941 -0.06244666 -2.31231705 0.71932239 -0.57073924 1 frame_00244.png 1
243 0.80115161 -0.13352582 -0.57910348 -0.07047067 -2.35218241 0.72986175 -0.45438257 1 frame_00243.png 1
242 0.78681144 -0.12880706 -0.59786510 -0.08302904 -2.41708871 0.75258346 -0.23841422 1 frame_00242.png 1
241 0.77502772 -0.12064647 -0.61284189 -0.09592327 -2.45496532 0.72783297 -0.10251748 1 frame_00241.png 1
240 0.76239894 -0.11771633 -0.62747406 -0.10567419 -2.47931782 0.73030242 0.07078500 1 frame_00240.png 1
239 0.75372092 -0.10875044 -0.63739714 -0.11748619 -2.50047699 0.74089718 0.17367047 1 frame_00239.png 1
238 0.74374067 -0.10124311 -0.64844237 -0.12697301 -2.51801318 0.73635584 0.27389649 1 frame_00238.png 1
237 0.72402628 -0.09139498 -0.66917004 -0.14015835 -2.54326401 0.74051545 0.47818378 1 frame_00237.png 1
236 0.71292699 -0.08797445 -0.68061529 -0.14407787 -2.55579529 0.73172510 0.59259784 1 frame_00236.png 1
235 0.69473278 -0.08311705 -0.69848816 -0.15017392 -2.55431528 0.73436328 0.71635868 1 frame_00235.png 1
234 0.67991588 -0.07971998 -0.71217171 -0.15546891 -2.52929464 0.74311677 0.82792296 1 frame_00234.png 1
233 0.65819945 -0.07577900 -0.73144251 -0.16131612 -2.51102852 0.73713560 0.96232029 1 frame_00233.png 1
232 0.64512588 -0.06945364 -0.74168472 -0.16997813 -2.51017048 0.74185414 1.04415196 1 frame_00232.png 1
231 0.62596839 -0.06703791 -0.75730516 -0.17366170 -2.48107056 0.73971084 1.18192911 1 frame_00231.png 1
230 0.60243448 -0.06658693 -0.77549114 -0.17678339 -2.42925500 0.73581156 1.34150254 1 frame_00230.png 1
229 0.57455857 -0.06086940 -0.79451636 -0.18687193 -2.36936251 0.71662448 1.49997423 1 frame_00229.png 1
228 0.54908992 -0.05437313 -0.80980728 -0.19938903 -2.31912845 0.69284914 1.63990246 1 frame_00228.png 1
227 0.53854358 -0.05383500 -0.81658240 -0.20066337 -2.29957232 0.68931063 1.70231881 1 frame_00227.png 1
226 0.51291507 -0.04893560 -0.83037178 -0.21214652 -2.23750526 0.67741386 1.89635722 1 frame_00226.png 1
225 -0.48156310 0.04934668 0.84855952 0.21356175 -2.13412132 0.68858065 2.06246275 1 frame_00225.png 1
